iteration,phase1_ms,create_ms,create_fee,finish_ms,finish_fee,memo_valid,vc_cid,escrow_hash
39,3281,4338,12,5598,423,true,bafkreid7hcycup3eva5e6nbezmsopbb73lrwklhktlvdz62ddwyn45xqbi,6A466F3BADA5A4985F3EEF3E83F17A08401B742D6C0D7EE6961BAB56B9ADC90C
40,3203,5625,12,6902,423,true,bafkreid4ae7wf45fshqpzchujpyqkxwkz6abbjuepoxkpr5rwmw7nzeeje,013CE8AD009880C48FE23862A0A6A557888737D5C6F66B67D2C39317812CE6EF
41,3076,7110,12,5603,423,true,bafkreihmxclrnyngdpw3vgvwdtlvaeghtftkd6uifn5px4ahmccqthgzg4,3782FE03ADEBE9C8D8E2271E1449BA8A93AB337324E67728477F6C8C939035E2
42,3759,6904,12,6885,423,true,bafkreid3t7kujltq5mt3unkqe2rca6qtv2v43wvwlsrowdngegspssvl4a,430AEB009A7B9355D6C376F255750D5BF7122F5948AA4AC04F6F4C6F510FA721
43,3138,6900,12,6897,423,true,bafkreibgybozekwpd2djso5wx2x7fkevabmpe3ndpoti3m2dp3fljeqhm4,A31D0FDD1F41AEC176687E69F36BC1C43063999056A58A222D9C518E6EE488E4
44,2756,6909,12,5635,423,true,bafkreihu3arrjtucsj2on6r2m5yzu5viapnjhpovlioserxh6gtsbp6xpu,3C1799537E52B3B106962577B537212F6EBF1426AC9F5FF9B1FE5923B9977FAA
45,3550,6082,12,6507,423,true,bafkreidzxm4dwkvo7fyrtfwecicr2cnhpmgcayrlq65gwr7o7h3oji5kvi,9A03757CDB8177355BE5B606ECB227884A1D7A9BC06026A84F1E25CDBC0640D0
46,3178,5601,12,3040,423,true,bafkreihrwqbsaddiziyr2umsbq6lvp2por4jslwgnn6nfafw4lpaenddnu,28F31C36D0C036FDC821595D6BAF6B711B8EFE6C4D12585632491142E9E50EC5
47,3134,6889,12,6901,423,true,bafkreihs4tcnjlgivgs2ere3p7esunfojxdipdobyd2x4hhl2kce46q67u,8F84E78C3EF4BC8F7AA3551C49BF7B0D88A57B32B7B8CC90976646F389FF2081
48,3277,6885,12,5612,423,true,bafkreiglgc5ufmng2mk2ohowzb5bwdpnziy3burmkdpppy7peesskegome,3687D4AD3D1EDF1705A354493329FF848A6BC3DEF587A408D017A91D797C38F3
49,3434,5621,12,6896,423,true,bafkreiaoo7kybvr2qk4ftiqvxe7rchswd7zgipwcncfldywspwtaoglgnu,EEF0EF09FAFE7701756E123902481301A879DC9F099033F52077FC88B53922F7
50,3486,4319,12,5118,423,true,bafkreiene5latebolqpkffabmjrvwyf2utd76hyu2hnj3dnpzgqw3doc3y,2F41773E75F304EEC3E20AB2DB8D20FA20C3BF5045A038E831AB9B7C43951088
51,4586,6997,12,6408,423,true,bafkreifngarmvnokedknhhfvdu46ocrrrmza5y6sy4gqdlztucji7lnp3i,CE84BF213B8DFBCA2F809ECD2D59EECD2B81AD54D09CFB6AB3E8862A6DF28CF8
52,3229,6996,12,6465,423,true,bafkreibpbxv72eyr6ygexpk5lkmgg7bv7qwanzzkthdt7zwz765xdyggv4,7A88B3665B92BD29564ED7C99B1DA28E9D50076782096145D414E91AF13D8E2F
53,3309,6479,12,6762,423,true,bafkreieyvtxyagqiocolz54okj2w7f6skwfsdqy4ymrnqsvpkjv45uuwny,D0C45FF0C2A069BD86711CC19A03AC0D38CEA6830F32091B8BA9510D9ABF4741
54,3448,5923,12,4902,423,true,bafkreicqvmt4g2nhkfvcyliheecmibcstugxihnk2tkssyjiidrlps7rce,C386F4A19F48C9CCC14B2DD5897B3ED822E67BE1EF8495F155675E9E78F222E2
55,2804,6075,12,6440,423,true,bafkreibk5t5urzflxljyrx4slwjakj7qnzztawlth6rxmt43brqkei2wl4,B480771A543E5CD37DCD643AA0AA50B5580AAD7AE78835084F2E8EC3F93C675C
56,3781,4802,12,6069,423,true,bafkreifxrkjb5vvkcgv5hxc37ot5ytrlduakgbrrkibjk4tabsiylueetm,A5283349EE078788BBE4C81805EF1496F0C1693AF6FAFCF898E68A2F4DDA1F69
57,3430,6059,12,6071,423,true,bafkreiefdyq4npggku452xtihuta3fq3gc7jc3esxkhez7i6gjcqjrvvte,6CA9E544432D400089A5A2822C4DFEFC1BEDCA578B7F9D275EE459FA642C357B
58,2851,6076,12,6449,423,true,bafkreie3gab4m2lv643bzx4wrimkfxl7t44csxwxn6mb6vww67eouxurzy,A2409E70442ABFD717586FAA7D5439B23C90752A73EEA4C98DF66CC0C76DF4A5
59,3352,5480,12,3469,423,true,bafkreia2hbkbbbwdulhttw2mnivm7wdxxwy6s553varltpmiqurcmjdape,68D28819AED0746450A5110BDC073CF263AE05EB4693360212A57552C834894A
60,3453,6098,12,8513,423,true,bafkreieanbxb2qw4mmwnrf2lwqxptojq477qtllcnj3rcgvqapnp7aqepi,D2B4B8FE2E24B7130C293FB3C621B26D1A2CF71B359D9C0031AC12226AA53CAA
61,3170,6441,12,4777,423,true,bafkreidphw6s2ft24lu4w55ahmq2scittsb4wbqhlaty2a4jokgitvebp4,D09088142621172DE3C4DD8BBADF101801E4FA05C73389227F2C878C1C2251FD
62,3786,6440,12,5146,423,true,bafkreighs5nkqfpuhmy54ivizvls3vnuke6ok5mbre6vbnwovpoes7zfiy,8CFA7EEAEE84994FB75BB80F78F7E3F332468B8789495AB81FF004C363587AC8
63,3519,6476,12,6177,423,true,bafkreibutb43qc6wm66qyktktffdzj5mcw3o3wkjoxxaqwhtdb4v6g6z5q,17F5AA57C10F33CFD7C28A40FD76A7108D9B694A694350916D29BD0CAA84AE25
64,4328,6266,12,6829,423,true,bafkreigkkpdwjtixoq7o3kyeqbdxbbujt7ik7hdr3jtzivnyxotfaxojvi,7642610E520A0B8D17101DD9C9FCCE3CE0252BBD10A8DB720312B02DDD77C371
65,3172,5654,12,6405,423,true,bafkreiafmrtju7bpu6tvjv3zqk24hxylqpfoelcq5jq44sxek7id3u7mou,3DF8A12521149BC944BFCB81DA06C2BAC619E0E5E530E0A3257758490FC120AE
66,4440,5193,12,3285,423,true,bafkreidtsazqfwxupm76pcvxtoolz4nk24wjiyqzzgapnqbkl34w4vtjp4,0BB499A38A267118525D27083C45AA2E01DFA922E3C69471B0CCCE3D8298BE0C
67,3123,5634,12,7737,423,true,bafkreicduynhmprcfnnlhdzpqc53cov6ru5r26jqyiscgcpa6y7ptowr3q,D615C5A341A5210FE8E1CAC6C825BAB309A1033CC5E9FB1C8D9B898E90FE809D
68,2923,6072,12,5592,423,true,bafkreiablo6zxjwbbbveenjxeh6dwvrbdq7noxhfzyr3w46mzpifez2xa4,03590F9CCAA19F2510036E148AB8F84207E38904B32E1EC04667729FFBF3A119
69,3606,5618,12,3048,423,true,bafkreicetyopibkoa5ip46kgfbav5x3ffwmq6l3shsbjrox2kbivvknsme,E2B675B7557AD42111513531D1BF619E0357C8429F65338DC924233CA78B3870
70,3027,7066,12,4285,423,true,bafkreihyaierkrumf3clhcmu35da6g7ksqjrjmdj5expep5cqkv7cxhvha,02D91099C39AABA94AAF6C1AE21BFCF972586730D5D00131CDFBCFF7B93B3399
71,2905,5608,12,6893,423,true,bafkreih7la3xt36iirmgswwfj2fvs7enjjeijw7u2y47fgfctbx2bawstq,8FF61FA8EFB13FEC18A01C8ABB0C32EAD6DA3D4120F180320EF56A8BE77134ED
72,3692,6891,12,5614,423,true,bafkreigbndw4vg3cfrxoolsrchynkrlhc3ohfh6rwf7uprfwp2sceqtmyq,20DF819BFC9EDFFFDD93033C8629FE9C5139BF145A0884B4C6BFD23F39C31DC7
73,3130,5778,12,5590,423,true,bafkreieh5iqyt2hxbuoxl5eznsgzrqk2akgk3phrpq2jlnh3t2we5rnlba,476440372393497336A3F82F0326BA0B14026BCD9A38AE9306EF5270A814F835
74,3088,5620,12,5619,423,true,bafkreihaahi363bvrpyve7ij7afhtxupwx5vdg7jqfju4estabcdk2hple,1472FB240EF88AB665EF529237638422BBF1C644406222DE430989CEB437726F
75,3189,3054,12,6886,423,true,bafkreifnhhycziongbi6uprjgewyyejq2ch6grp6klvrodk7wvjwefsx44,D1FA283EA0AEF17029945178FBD648CF2DBDCD6A97764B18AC0B7AC1F3CF64B3
76,2903,6950,12,6925,423,true,bafkreidwqqd63ajy36h4f3nwuidgichq7n5bpnikm2lfyi777jvywv2qxq,C5BA6B32244A6BD89C3FFE2E2282BDDE90AB086D687264BCA3E0FA54BFC48618
77,3052,6895,12,6873,423,true,bafkreihb3ii7krvu2xvq3tn7pnozmanwfg75ku34uz57ku6e73a55ne3ce,CB55BBB34A764974EF69427DA5E9617DF1D0233613D6C09068E6B5894B4CCD69
78,3648,4338,12,5615,423,true,bafkreia344enekdz6b2hqtwdxm3dv6qpxqxsdbbtvizsdzrzmxvbgoaz4i,4FE8149885D6811273F6808AFF48EC04EBF52D262B19F159798D4856A36AFC44
79,3050,6888,12,5621,423,true,bafkreibpbudaqyqgp6psmd27z52nalwtlzxf5u5pbd2jysscn5qx7dszmi,60AC4ED9B083F33193D32E1E6DDDDB32F997704A369929863592380F7D71B97A
80,2940,7099,12,7253,423,true,bafkreic2uu2mphaytfdj2i6g3iqp2qt53kpu6mffd2rebm66cjcc2fhkny,EBBDD681B79A73DEC556385880DD6E82DD4D843812DF643590578ABBE5A48DA2
