iteration,mode,create_ms,create_fee_drops,cancel_ms,cancel_fee_drops,create_hash,cancel_hash
52,cancel,6938,12,5642,12,D1ED3427A1EA9F793F9692D7D668A419E75395D568987BD8B44EBE9526A9D753,4EBCBB69CFA45480F5B5FAE0DDF9838C637ECCD8DA4091F029E28565C2AAB95B
53,cancel,6949,12,6939,12,D95AFEF8536812A5CD1589E3C8176B562020CB0015815406D2A69865553970F3,5E95D447C76B9CBC01667AC3B0B99F415AAAFE1DD091D5830854D92389F39BB7
54,cancel,5659,12,5656,12,675CE579BFDF0AD06D879011FAD4D8A502F27232A0A7E2E85B0027185616D481,A077FFC2FA12FA71E8F4D438E186BF2E252D480AF7A3818E9573EBB3E25E9911
55,cancel,5654,12,5676,12,E70987652F1940E6B2084900F73F7C991101A874CA258CD7F55A9A5D732C13FB,A506351D71E91CF8EB4E61177556AFE0C2F44BD39BA9C17AF165387A97DF0AA3
56,cancel,8216,12,4365,12,4106D2695571113549A5954A67D4F52083FE3E56ABFCDE226C0333A1B983589C,C7B02211EBEAB07456E8D36F7DAB3C6C930DD281A928F9B2D3E8FB0A69CED014
57,cancel,6937,12,5640,12,D6CF71BEA53372A8F7A8A9E4ABC519FB41978A352750CA888B4EE971CE3084F1,6CA7F1EAEEB8BC45EDC487F9B950DB8E197BF67825AADECCA7D922D0A7E4BF45
58,cancel,5603,12,4355,12,5092B75684348ACFA24C5ED83936CEF78C08C335407E738CE229F1C499BFE6E8,ADF133CF7BD6EDAF3958E327A417C89F9149F08E40FD4F618BED35B5F4298371
59,cancel,5668,12,6891,12,8D7145D0430680F9A9C7CF05E4C8A84484663EBF7913A029E16C22471F3F98EF,25C0FF2DA2DA7D44AD6E5EF4046C2458492C84D1E561A0435FB2CEFE85B22679
60,cancel,5624,12,3060,12,9EED1ECFAE1509F322FF596DD34FCE30D91412E55937A8182A8B5A1439475C5C,4DD48E338E476660619E0F3D52CF5275D122202849CD0C3D6E20B7B42F3059FF
61,cancel,6895,12,5643,12,3A94D4C723DCB9A745491E2CF06FBB88796606AA18159340B950290A0486A911,FB6CA0D25F852A8CA9DC7BCDA408CEB40D270B5BB12C91E9454E024EC1DF5C50
62,cancel,3107,12,5646,12,C04F3DC58DF611829292C76CBED691ACE495FA03520BB569966B0380F0CBF908,E7E2FC179031F3798608D5267994E36D940795E644FD0098680F23186A8F730F
63,cancel,6936,12,5704,12,4EB700EB118E420851101163C933973C5747930F3A5BEBB00EBB3ED0BD767000,B364402EFF332B1BD5C6F52F1CAA97BE6757B548052CBDC50886FCDB4736D27E
64,cancel,5624,12,5607,12,61DC166EC385C25108225E160A1575EEDFCBE1C4D875D937B9A32165B8C96290,3F1211CA0CF892F86C2544CF64D79FF5DABCCD6586D19AB5BD35AF8F02AC68C2
65,cancel,5649,12,5629,12,676A031D3FCC34F672E8A031B4CFD0330C011888FC35D41630482125D612F011,852A933056E128432240F4C2B05F9316708DD6B53746836CEC71BC2A8188F424
66,cancel,5659,12,5655,12,2B58C88716F151ABA5186BE19161E95DBA90E55E606B311848E8301504A3B8C6,4759D873270A733C1FB281C5C0BBE034138E15498970E1BA169BF83B0B6067B3
67,cancel,5607,12,5564,12,10E7AD8DB7F50F14C122BC53C8339937EA0F7BBBEABE4243AD8D2E2D614F6C30,CE7C819C25606F05FBAC91F9CA58D08107401416D49B364FADD2A8A61D3FAC77
68,cancel,6895,12,4326,12,23719F08A32DC1B5CECEDEB83770EEBEE753E258AC5D1347D771C3BB6F4DC57F,965BC38FA411F9C71E2AB1EAA222480B8CDC21E5AF914D7A7C926B49E8D504DE
69,cancel,5607,12,5634,12,F8264B2C97B606507FC166C490E8A20942224655C9A8FA9B9E684F676B28EFF2,933FFBF9BE1C848200E49206A19ABC6D8BB43965D83D54772F812C41DE06910E
70,cancel,5648,12,5735,12,36A7BDB75741BA128177BDD5FFF0EAD29C94871298A4464DEB5623B5783AA3B2,EC39562577EAE44345FB76A547E69F47FD6DB4B8D446819EDBEBAFC3CDA6901C
71,cancel,3076,12,5825,12,5670821E42FE1E9BF71E2189ABCF9A35852D9AE6BA7E5CA4E84E4DAB87178650,129AD829003B88CCBE098C19FAB68F18C873C7D44571EDB85969A943F54522C9
72,cancel,5766,12,5607,12,71B13548A76E4BA247AECC19085D8A995ED41230A3596F04EECBAE4265469008,FEB475548CB9292D2557E1F7B1A039808B4E9D3C975C4289883EE1389A89AA86
73,cancel,5630,12,6920,12,6AAAF503869D71538887119EFE4A130288C8BA72513F2E104EAAD4415974D726,FA41DAB29DD6DE364E16F38CFF1D81502255FC067584A406C03D47FAC4F24D3F
