iteration,mode,create_ms,create_fee_drops,finish_ms,finish_fee_drops,create_hash,finish_hash
43,condition,6847,12,5599,423,6C83820EE1A5AE98B5B980863DF515D8E67886E096229B2ED75229C6491C7976,81E5C0CAB002242AE43E720668FD2E2B28E80A1532EA3573551AE71C9867F411
44,condition,5594,12,6871,423,6BDDDD5820D6AEFC51120101A15570A7D2A1496EB6BF97B19C8FD253B13D04D8,60AFB6D8D694E16BB5D02190ECB8E8D96F216D875EE5C71D8B8A694EF546E7E2
45,condition,6882,12,5601,423,5C4258A5C332CDE1A5B44F6B501E6BA83D1AFF3E64851629145B2316FFA162AA,E9C6C509CA199D481BF9E3AAC7E45FDA3F8EE0B5D9DF6CA627B11791F9EB061A
46,condition,8126,12,6868,423,627E8EBD4FDBB01816BB6C501E86EDE48CF22B1385B641D1CD0F7FFCC6C4049F,40BB229EAE67C40175BAC9F710D7E4672478496A5839C949171F7E17E1EFF759
47,condition,6856,12,5601,423,4FCE2F84023E8CB8F8F9ACB4698F153AD32440492CBF54A1C37E02AB90C17B65,CD55100B938D0887A4E00689F06B7DD027158254414436CD1D9A6072DCAFC992
48,condition,5605,12,3045,423,DA9C4C0E5711059C192C59521ED09804B6C70590D0E7AD73BD092722CDA7A481,597149DFC35A0D3F793AECACE3FD487BEE83769190AF56F8402245A05D68EB01
49,condition,6967,12,5601,423,AD2B9474C4E023D0799A078176CD139CAAED285D4807FA32C8DDD19F692B6B05,F11852817651DEC613727E7E7885801C8F3CA2D4DD6BC6FD1330569E6EA670E0
50,condition,3028,12,3030,423,288A080C60564CE5CB78508EAA9CFE3F981C2547B635B98A36AB267B59063261,50033C82A8EFE3F3BA9BE8492C2C28C8DB4033D569BB565EE273CBCFA982B744
51,condition,6908,12,6883,423,E6AF43EDAF7748019B57EC213EFAB5CAA20E6009DB6DFE2F2562AF93C7323893,008F2991436AE424958616502F2C382960E6AD09EBAF6B4F59EBD2890F89A26F
52,condition,5605,12,7096,423,350689D91A3C61B1971505534F9366E4E95C9C54EC2DB0AE98E166542F579A5C,5131B6FB5B53C87F7340E3D7BBD90BDC999BD0BBACB95792D84A8E1D0BE1EAF3
53,condition,7051,12,5592,423,F5620B5BFB49DE1E2BB7BC249CCB848D4FAE73010AA027DB6E8306E26ED54F79,FB8FA686D41F9450143D978245E1AF6522E8AF7DA0349B2DA54B75487126FAB7
54,condition,5722,12,3020,423,6AED0D01679C6613F9B46484C355A2704DA52C4C91215D822296577D672CA862,A6F075E3B499F0A47E399EBBC671A1AA4F80B24B1F55C861C18598FFD423397F
55,condition,8170,12,5619,423,651C4C40A41DFB60DB2CD02CDB1E71BE5D8BD005ECFDF38BBE784142612918B9,337DF49813306D5CF97A16515E47593E3FD3DFF9C747D0C1A736E55B4ACAECA6
56,condition,6871,12,6909,423,65D16BF3FA0365FE16C66A0CCCFAC343FEA754A002C5E15DB61F5DC885F4294D,45FA28BAC71FA6FB79E4AE866FD4D381143D0B50CA475ACB406EBD31CC82E825
57,condition,6828,12,7047,423,E6C0E05F8EADE4CF57536F41C399DCA8D5F7FAE51FA881111BB3666746FF1A1A,5D086B41A95413EB1DA28718A124A75C0CF4FC0EB7A764555E9C631A0E4ACC38
58,condition,6913,12,5569,423,995D479580ED5B87380876F201843F21F6EF1DD96B076049BCE5C3F20B9D5BA7,416AB9E1BB31DE7FA60713DDA25E04A45F814EC49648BE15496FA0DE9D4757C7
59,condition,3024,12,3031,423,59DEA551547D71B4A08A8D762E26CF883128F95BDCD5E736A8F0671E94D56292,5F72396CDE8309C71D60A2F7F9A3E669BB78D5CE03B8A6BA61FFBA9C50241BD1
60,condition,6867,12,5609,423,AC4EDF4F6E4F3BD70C7321D82C8B5201E18ECB38B399C3A8BCC83151BC8799DB,3B076A1D7682041BFC66B26E52580021F5A7462BF40CE509A32E6DC799CC2CB1
61,condition,5600,12,6892,423,08718C85F68EBB776DC4F201738C6F5AF320C4A8CD856990F245E8399F8DD499,C0B0E940D8EBDA9C97E1F2245051F365E41331CC3961822037E555422B508592
62,condition,6848,12,5778,423,B9A27E857B9322462316DD1066E9EC87737A5DEB0C82A6FB00400E4DD47B7ADC,BBBBEF2E57B729E940B62800EB5BEEF6AEC9188875008C857660F88DA570C0F3
63,condition,6352,12,5796,423,93AD81699BE8DB128C3871424DB41B49674885132D68844A19725F007956805E,B385A5463C6C7B5DA5DD4BB5084878379D1D905F588107BB9CC3FB63E7DF17B7
64,condition,3052,12,6904,423,2F0AD7C6E1F8F7C8CBD1C12CB2B6B94786D0078CB27B9C4888A887E7D9C5484F,7462D1D3EDC1651C2FAFE3AF394E29DBA06FEA65DDA724A1A25EC2254FCC5746
65,condition,7256,12,5632,423,5D22237797F8D19F44F4B1306BDC0E13ED2A2B31C8A9F6AD91DFDEA7B2189DFB,B94D12B7BEA5353670FC07761590ADFEDAB2AEB031F4D48AAA5D7D7BD291CD21
66,condition,6933,12,6244,423,78C56D52220210EC3D39F37ABAF63120E45057044ECB26623ED5ADCD53421075,6A7374C74CFD9EAF6DF4AC9351E695520658C2C2B61EC8615F0550952EFD34CD
67,condition,5788,12,6882,423,5DE6CF0E49AE09C73D703D9528A80178601B18F27899730B616231807AE3B07C,61FB68E88473F875CF735BE22B18D470EDA1542BADB8109021CB88F1727CDCA0
